Id,Predicted
114982,379062.28
95653,516176.1
40303,335699.75
109506,313705.56
100149,422055.5
7610,319857.44
61101,335839.7
68167,488930.72
65701,327843.44
56039,299732.62
81919,460676.97
99768,430769.12
124053,718894.94
3942,349084.38
118904,459293.34
30060,374961.6
185729,530279.0
46357,755318.0
20662,379272.16
102274,482267.9
53369,292411.0
9719,325894.22
20145,320808.3
159051,665809.8
31481,321743.5
142247,399802.0
29119,340100.22
151448,448179.12
60594,285843.84
83400,604442.94
40168,287484.7
52407,396895.88
127232,476666.1
131188,444337.8
952,217833.97
166230,429003.06
144844,428182.22
33207,318814.38
28355,760992.6
179918,582616.5
162451,756521.75
19390,239639.66
114861,419340.0
132259,363729.12
180033,733804.25
97052,480398.78
94224,390580.7
32295,466411.7
171908,830874.6
80236,593666.5
156193,394687.47
54494,298971.2
174530,569238.06
143835,351387.75
26275,337300.12
61627,607484.3
49813,337018.12
3466,446741.7
117691,482665.12
132738,603722.0
114211,563842.0
116741,468147.38
39246,404724.34
150011,373274.94
182319,523236.97
32441,308057.1
18842,315722.28
99428,386416.3
96435,420741.12
134803,360076.28
171636,585696.3
115944,492463.56
149001,468778.66
19084,355057.8
178128,730641.3
74818,365570.34
49603,334638.5
86262,643242.2
14520,263510.1
57209,839192.6
148575,599693.5
33,176419.36
180401,661936.56
87114,400814.2
16450,329936.6
28848,327392.1
11519,266870.7
7202,289906.5
2843,240096.45
156073,477177.8
132217,407185.56
140349,501596.72
34614,334058.47
135594,434360.2
170933,773111.6
62586,415204.84
145868,374341.97
15155,222910.84
61290,345361.6
184569,616315.1
169996,376751.06
7026,376368.56
128356,348409.03
134501,513930.0
163406,666867.44
56796,390451.94
174870,691387.44
142554,518729.4
59547,278024.12
143113,394329.2
154091,416955.88
61191,544684.9
135899,419648.2
172405,568163.2
184121,550170.0
1063,367010.97
6348,334489.6
79995,545984.56
50573,348481.75
79894,474447.3
113553,354750.44
31931,344022.44
86645,360251.03
123780,368597.78
142940,496480.75
138987,493501.84
41502,265648.7
100104,495833.47
83570,452780.06
181648,638696.3
68406,445813.4
114567,328041.84
5470,378301.47
176926,883511.75
173013,415304.2
110219,402846.97
52178,250765.55
120569,479831.66
132710,475214.0
10478,393702.62
100309,841693.6
76446,344800.34
140674,385921.2
122786,588137.9
66214,489165.44
120240,327278.7
113802,385718.28
169747,439340.38
45819,375761.2
36170,296895.25
84049,467197.88
104675,324646.28
66165,772917.8
92499,362080.12
107783,472686.56
148441,472262.84
12344,284986.47
93256,549639.3
48139,458274.8
101908,374797.22
134084,397635.4
17216,245297.62
185201,692427.25
185016,626653.44
25318,302253.06
65253,328059.8
57696,269079.03
30939,335211.88
128338,366763.22
104156,449610.94
41455,351547.8
126390,361033.1
165803,503255.8
108253,373425.2
15221,227024.56
129322,380893.03
86142,624478.6
150957,462188.4
97028,446278.97
3219,368914.66
172533,465521.03
147313,441310.72
168865,441267.47
138278,478081.88
82280,324499.8
4380,319389.16
4327,536979.75
109861,383376.38
45273,479075.1
102888,863531.4
77664,433547.66
58355,331078.28
91308,263061.34
169692,441943.88
154931,587809.44
123897,447736.47
43550,514382.7
94084,401385.25
63629,325241.72
163153,452706.3
165076,622168.3
55701,347579.0
19310,376717.4
18205,323963.47
59608,387180.1
60785,528349.9
51513,317262.28
145397,430553.62
101693,418398.12
164688,478264.44
82863,339800.66
1754,252570.0
5376,387265.94
130074,482036.5
102843,708793.8
29760,316329.16
130642,385625.7
31347,395321.25
24205,317107.84
165100,428370.8
81514,450827.4
116369,541398.75
84639,369790.97
97982,488117.62
91083,756532.7
149132,626872.06
41826,440907.94
52033,309440.9
21665,321314.06
62257,284308.16
10102,332266.06
23904,324356.47
179693,936515.1
144227,774744.56
120211,354127.12
173440,412535.7
46749,341337.62
96942,477477.72
183177,483214.1
35398,349292.9
30263,338944.53
48194,374060.62
129424,467782.4
110123,423134.0
60370,539374.3
33837,419073.78
108049,467622.3
78656,429460.3
7172,299734.38
66304,370944.12
78058,421193.03
176324,612967.06
165880,571663.4
93902,345015.8
116039,349371.62
151166,499855.06
40210,306399.6
98367,335747.34
160925,539236.8
104371,496385.4
78415,727411.6
83660,559815.8
121434,567644.9
78336,589661.9
52510,390332.78
64261,350351.62
97749,420508.94
172084,440625.53
52569,278598.34
57400,441320.7
169875,562880.75
58398,384754.2
183622,613106.2
48753,554332.2
130190,545087.75
108466,331710.72
157786,558049.8
95190,362392.5
87452,490656.47
142203,572780.56
130773,595104.2
168853,395944.72
64684,358912.56
57446,340360.78
153747,426282.9
159666,430528.25
71555,391076.12
134319,780525.0
93943,427102.25
109872,454298.5
177223,634405.8
93784,599225.0
6380,324218.97
132297,384531.97
125110,496718.12
36843,299016.72
121955,410308.88
82973,513289.28
103986,367450.78
97824,418493.06
64151,403904.25
165946,393669.66
159307,412809.47
131434,393703.03
8556,439433.38
37868,380753.1
14032,352267.1
21341,385816.1
135288,586012.56
50116,265163.1
97940,434036.9
162134,437369.22
166998,435928.9
137392,481249.8
1460,320444.3
171905,878024.75
175067,577045.8
172514,609128.94
17738,332802.6
67047,345777.44
124014,515558.2
185762,829879.56
1311,244788.4
119140,537911.4
142546,512040.9
114400,288696.22
22406,440616.16
92766,542129.4
60485,415732.06
91648,476518.1
132526,847420.06
25180,420915.44
48904,258034.62
146550,450455.94
19407,460708.25
47699,292053.8
2620,302019.9
174106,582766.2
112846,445245.9
83926,445056.22
64285,393089.9
5733,325432.34
87638,488939.7
53604,308357.56
53244,402104.44
82872,372244.53
66096,527034.25
173642,386169.3
145405,373295.22
90156,598896.8
180075,692658.1
5153,313642.28
134959,502730.22
64342,390137.5
51154,444704.28
40845,243576.34
170881,798327.6
106257,702049.9
114464,302717.38
97370,397986.44
172227,491296.47
151941,441846.66
107035,423683.7
135274,448685.53
169795,577843.25
83718,392165.56
42632,236702.83
68198,396794.38
112707,421977.25
36740,377918.1
42954,338904.9
5921,314747.22
40850,238083.81
44668,306831.84
21263,313908.66
162241,588162.8
81902,404701.16
169151,652936.7
154334,453056.28
59218,413061.75
37714,362293.8
106222,523289.72
139069,500226.1
4425,432594.03
140007,418872.12
90024,387368.28
153101,406541.3
37538,344224.88
32399,311439.84
38946,329494.34
151272,468919.6
95430,489794.7
101750,639890.2
16356,260359.58
131496,417180.25
167864,503293.53
17832,336342.06
106738,391732.72
33431,266870.28
164505,503723.03
47565,456114.9
99660,627726.6
20200,339648.34
28507,443209.3
43495,434726.47
23794,385524.12
40297,332773.0
53944,528494.4
11040,829130.3
106585,455210.5
70050,712001.56
75026,446242.62
142562,509656.38
113332,496658.88
104548,700462.6
159065,477166.56
157589,503484.88
26850,322251.47
83917,390652.3
124331,377182.25
58018,283263.2
163913,656302.3
109105,472536.1
97862,429660.56
16478,302754.4
35187,308901.28
25446,400431.47
47828,353308.8
123220,454052.06
16366,322495.06
144449,389509.75
39920,302859.5
160888,461241.0
47978,292968.84
14331,364864.2
60334,323760.03
49737,242409.28
98533,340362.66
38375,319805.28
176978,687074.94
60474,450562.53
163806,576740.6
4654,324594.28
130912,419660.62
115098,435167.72
56214,291726.78
63720,317612.0
143496,588091.44
33941,315808.28
66720,334347.34
29518,283755.84
68026,631680.25
161546,484208.6
118804,364989.25
126852,430430.78
102392,385302.22
49738,224539.5
49424,413196.84
18184,331388.25
5408,384522.03
157571,490249.25
111705,586084.3
179891,772511.2
76587,346312.1
2629,327145.03
119008,404419.6
128414,307324.1
162481,406178.0
39075,409662.75
113444,549036.1
58984,517757.03
134087,405103.9
27723,273691.56
61426,867320.1
26496,301699.5
8183,407938.25
96508,431063.94
56072,377373.0
77192,433364.1
84054,490899.53
55624,351333.16
163711,412448.84
29219,459140.6
81813,437022.56
181000,787433.44
143894,453473.22
141800,513112.03
30009,303382.2
45917,287353.12
14425,344330.2
23268,258198.25
1284,246135.47
69986,767131.44
134779,405709.06
78114,424658.06
128833,446296.22
129335,446579.47
56632,359998.7
46967,306049.56
146611,364887.3
37748,317073.88
156600,519343.3
105167,376664.25
35572,321166.3
154900,514884.44
68778,383548.84
40761,658500.2
76922,355613.47
57737,273089.16
63946,439620.8
111235,394898.9
114882,507656.47
12676,263082.97
138376,420815.5
90637,418954.78
184522,624997.06
92974,334739.97
8857,296102.25
27895,288130.03
156181,561044.25
41834,509669.3
157391,564581.0
143702,399132.4
185912,1014417.56
11229,306162.06
41300,356996.47
72247,372034.28
83180,518428.28
148335,530257.56
7890,404341.1
135138,445510.53
27131,311444.94
166558,643611.9
131032,392641.6
74357,424903.72
156049,343928.12
69414,769662.94
97276,409572.06
82842,377798.12
148527,499347.9
144752,452223.4
18175,332476.62
11905,280943.72
171029,492597.72
59320,446506.4
84110,386527.6
78965,813415.56
85951,593761.7
163141,468936.88
109999,425520.2
147801,395815.1
139213,420156.7
126460,686025.56
28015,386826.88
181431,562794.5
52696,718907.7
50605,290653.38
165242,491294.66
48813,273649.6
110483,613627.0
89306,343323.2
133442,413074.75
65829,703996.4
87579,399049.12
91465,451284.7
73701,517696.94
15530,374266.88
18230,475245.5
97193,471190.88
166625,597096.2
33195,440040.9
136148,497738.5
165033,735517.4
21315,345374.3
91814,297622.88
16891,462424.8
107918,683320.1
79471,408756.6
21862,478065.75
67991,473188.34
165486,475885.75
63600,415497.06
110049,342370.62
112307,384699.2
10157,324728.78
74635,482900.53
25784,396173.2
107059,411425.84
30356,398874.3
87516,757346.1
10936,469401.8
88543,562050.8
139877,399295.53
42424,456023.16
52670,595502.8
166867,455316.84
101107,501407.8
76199,522028.7
80888,337851.0
9911,353636.62
156640,463177.28
102356,563568.7
48860,348623.66
102849,705477.6
138105,414977.75
117983,448683.53
93922,372266.03
46238,383291.8
59022,704829.94
106646,436089.7
120040,491660.56
126172,338034.8
168000,619722.44
80749,399341.84
131491,484432.9
112112,570462.06
47501,330876.94
13728,257060.52
101768,350327.72
6316,307277.84
126098,830988.8
165,309002.47
19524,434540.9
150677,460090.5
59379,422251.75
74454,327208.7
175450,667320.06
89244,750000.2
116506,414710.28
147339,410116.72
74001,623742.1
90922,392238.44
1820,455402.5
110186,273035.75
62682,372807.94
89581,483958.3
137848,430014.38
161798,425845.8
170742,469599.97
82918,421460.38
37679,282543.2
154926,390369.84
149598,331573.1
44725,306216.12
90766,540453.0
148899,385584.47
126592,355446.16
157908,409724.8
113713,454330.94
148870,673069.44
165510,455921.0
101470,352889.94
51743,349626.25
27173,251453.73
27812,333535.1
95488,322875.75
173154,701014.0
121352,388646.44
143803,440198.62
63373,343585.62
1386,339040.94
163514,530681.56
35643,313198.0
120579,493079.72
128369,406055.28
141816,468916.38
161838,520349.44
71069,360400.75
77131,425214.97
17667,334099.12
52148,420168.62
72854,603400.2
102035,474695.88
111359,421232.84
17719,367095.0
123306,340389.8
161864,856987.1
180849,569101.0
160993,499375.22
162321,364402.34
46481,290514.72
79814,329763.22
137789,559681.1
54212,277967.16
33512,334520.1
57246,718630.44
183567,644584.94
126709,433855.97
38938,369659.1
31497,433211.88
43094,347012.34
40278,301947.34
174057,670655.4
88538,575110.25
78488,685282.7
170729,593499.94
173992,526481.9
60975,353703.38
54718,310072.28
178130,726927.0
133730,386497.7
70033,746044.06
43395,554971.8
142569,455990.66
25880,302736.25
139537,370786.22
3465,323199.53
40735,472522.44
162957,513244.06
83356,525885.8
32897,334296.12
49245,314101.25
60337,333201.78
139769,711836.5
52326,370338.34
162813,841138.3
180789,573337.6
49386,418831.47
33541,337490.78
159352,471649.9
42027,389984.88
155370,430003.5
143725,504583.62
131769,487197.16
139885,411134.62
93808,470106.53
10639,310216.22
168611,600599.94
167653,722012.2
123170,332046.66
139150,323535.0
62622,506338.62
168689,1026504.06
18566,292061.44
67121,288429.97
119193,424488.22
75320,528989.0
185227,803749.9
59316,434474.56
42962,322889.2
51540,287019.47
37927,328556.94
85155,312055.7
148730,390212.84
182768,623050.8
21816,355014.72
119821,463429.44
53803,396096.25
75672,537130.06
164062,591535.56
9801,721961.3
90516,515191.47
126543,363326.12
20563,220146.94
173167,427495.66
165546,797127.56
140696,494575.5
60885,537667.1
71010,343015.47
65245,433503.62
7762,264739.94
162332,427571.5
132065,468582.78
163315,567743.7
94896,358367.03
13990,448398.28
86695,420684.84
136032,639127.9
181973,563978.9
70720,1080966.6
176320,659188.25
123988,628584.25
75446,521813.12
165520,425015.1
95499,390022.9
73362,409781.4
115013,352642.7
170250,571090.0
117752,579628.56
120534,661048.1
43110,351623.5
173316,523865.25
163348,822878.9
167196,501771.16
8539,671584.94
57416,447196.3
147688,426639.34
48843,317025.78
123483,450232.5
91781,370522.84
57502,226585.12
41380,430222.7
71368,524404.6
90332,343778.16
56200,363427.47
59273,434548.94
59528,794477.44
142978,448031.6
62463,404445.78
151089,348728.8
159388,392082.22
15000,285111.03
124030,464432.0
146762,391815.1
32542,252804.47
44504,404457.75
154438,577013.7
92711,417699.72
26861,336386.4
154130,497817.8
108177,490865.03
85561,356635.53
29523,289785.84
162190,642154.9
137744,428707.97
141614,372538.16
154095,500673.94
177433,757288.3
16212,271460.44
138324,481104.62
179772,671817.75
80229,552643.6
146601,576949.2
90354,364283.34
16620,293275.25
144520,475420.34
43671,304616.88
151379,434684.6
43516,328111.22
114780,367703.84
48679,454336.47
23310,293076.56
82078,895507.5
161637,461407.78
97266,390081.9
25975,319640.6
183280,746251.8
143522,384330.53
82873,404851.38
111022,440783.0
170004,461877.97
149233,411615.2
11335,252955.14
178323,729333.6
117545,414857.28
104197,438235.84
114280,461091.72
30527,320671.8
42651,419684.3
123646,382221.5
72689,427599.84
